Rank,Country ,Population
–, Curaçao (Netherlands),"1,53,671"
–, Artsakh,"1,48,900"
178, Kiribati,"1,20,740"
179, Grenada,"1,13,000"
–, Aruba (Netherlands),"1,11,050"
180, Saint Vincent and the Grenadines,"1,10,696"
–, Jersey (British Crown Dependency),"1,07,800"
181, Micronesia,"1,05,754"
182, Tonga,"99,532"
183, Antigua and Barbuda,"99,337"
184, Seychelles,"1,00,447"
–, U.S. Virgin Islands (United States),"87,146"
–, Isle of Man (British Crown Dependency),"84,069"
185, Andorra,"79,535"
186, Dominica,"72,000"
–, Cayman Islands (United Kingdom),"65,786"
–, Bermuda (United Kingdom),"64,055"
–, Guernsey (British Crown Dependency),"63,124"
–, Greenland (Denmark),"56,562"
187, Marshall Islands,"54,516"
188, Saint Kitts and Nevis,"54,072"
–, Faroe Islands (Denmark),"54,081"
–, South Ossetia,"53,532"
–, American Samoa (United States),"49,710"
–, Northern Mariana Islands (United States),"47,329"
–, Turks and Caicos Islands (United Kingdom),"44,542"
–, Sint Maarten (Netherlands),"42,577"
189, Liechtenstein,"39,315"
190, Monaco,"39,150"
–, Gibraltar (United Kingdom),"34,000"
191, San Marino,"33,776"
–,Saint Martin (France),"32,489"
–, Åland (Finland),"30,415"
–, British Virgin Islands (United Kingdom),"30,000"
192, Palau,"17,957"
–, Cook Islands (New Zealand),"15,342"
–, Anguilla (United Kingdom),"15,000"
193, Nauru,"11,832"
–, Wallis and Futuna (France),"11,369"
194, Tuvalu,"10,679"
–, Saint Barthélemy (France),"10,289"
–," Saint Helena, Ascension and Tristan da Cunha (United Kingdom)","6,000"
–, Saint Pierre and Miquelon (France),"5,974"
–, Montserrat (United Kingdom),"5,000"
–, Falkland Islands (United Kingdom),"4,000"
–, Christmas Island (Australia),"1,966"
–, Norfolk Island (Australia),"1,734"
–, Niue (New Zealand),"1,549"
–, Tokelau (New Zealand),"1,501"
195, Vatican City,825
–, Cocos (Keeling) Islands (Australia),573
–, Pitcairn Islands (United Kingdom),40
